,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
163,PIB Total,2001-12-21,3/2002,3.32,3.14,1.03,1.2,6.68,,0
164,PIB Total,2001-12-21,4/2002,3.79,4.0,1.25,2.0,7.78,,0
165,PIB Total,2001-12-24,4/2001,0.46,0.32,0.74,-0.8,1.7,,0
166,PIB Total,2001-12-24,1/2002,0.07,0.4,1.26,-2.9,2.1,,0
167,PIB Total,2001-12-24,2/2002,1.62,1.57,0.68,0.2,3.1,,0
168,PIB Total,2001-12-24,3/2002,3.32,3.14,1.03,1.2,6.68,,0
169,PIB Total,2001-12-24,4/2002,3.79,4.0,1.25,2.0,7.78,,0
170,PIB Total,2001-12-26,4/2001,0.46,0.32,0.74,-0.8,1.7,,0
171,PIB Total,2001-12-26,1/2002,0.07,0.4,1.26,-2.9,2.1,,0
172,PIB Total,2001-12-26,2/2002,1.62,1.57,0.68,0.2,3.1,,0
173,PIB Total,2001-12-26,3/2002,3.32,3.14,1.03,1.2,6.68,,0
174,PIB Total,2001-12-26,4/2002,3.79,4.0,1.25,2.0,7.78,,0
175,PIB Total,2001-12-27,4/2001,0.5,0.32,0.78,-0.8,1.9,,0
176,PIB Total,2001-12-27,1/2002,0.06,0.4,1.26,-2.9,2.1,,0
177,PIB Total,2001-12-27,2/2002,1.62,1.57,0.68,0.2,3.1,,0
178,PIB Total,2001-12-27,3/2002,3.32,3.14,1.03,1.2,6.68,,0
179,PIB Total,2001-12-27,4/2002,3.73,3.95,1.26,2.0,7.78,,0
180,PIB Total,2001-12-28,4/2001,0.52,0.29,0.76,-0.55,1.9,,0
181,PIB Total,2001-12-28,1/2002,-0.04,0.0,1.21,-2.9,2.1,,0
182,PIB Total,2001-12-28,2/2002,1.56,1.64,0.62,0.2,2.4,,0
183,PIB Total,2001-12-28,3/2002,3.33,3.2,1.03,1.2,6.68,,0
184,PIB Total,2001-12-28,4/2002,3.85,4.0,1.31,2.0,7.78,,0
185,PIB Total,2001-12-31,4/2001,0.52,0.29,0.76,-0.55,1.9,,0
186,PIB Total,2001-12-31,1/2002,-0.04,0.0,1.21,-2.9,2.1,,0
187,PIB Total,2001-12-31,2/2002,1.56,1.64,0.62,0.2,2.4,,0
188,PIB Total,2001-12-31,3/2002,3.33,3.2,1.03,1.2,6.68,,0
189,PIB Total,2001-12-31,4/2002,3.85,4.0,1.31,2.0,7.78,,0
190,PIB Total,2002-01-02,4/2001,0.51,0.2,0.77,-0.55,1.9,,0
